NAZEV,OKRES,KRAJ
Most,Most,Ústecký kraj
Mostek,Ústí nad Orlicí,Pardubický kraj
Mostek,Trutnov,Královéhradecký kraj
Mostkovice,Prostějov,Olomoucký kraj
Mosty u Jablunkova,Frýdek-Místek,Moravskoslezský kraj
Mouchnice,Hodonín,Jihomoravský kraj
Moutnice,Brno-venkov,Jihomoravský kraj
Mouřínov,Vyškov,Jihomoravský kraj
Mošnov,Nový Jičín,Moravskoslezský kraj
Močerady,Domažlice,Plzeňský kraj
Močovice,Kutná Hora,Středočeský kraj
Mořice,Prostějov,Olomoucký kraj
Mořina,Beroun,Středočeský kraj
Mořinka,Beroun,Středočeský kraj
Mořkov,Nový Jičín,Moravskoslezský kraj
Mratín,Praha-východ,Středočeský kraj
Mrač,Benešov,Středočeský kraj
Mrlínek,Kroměříž,Zlínský kraj
Mrsklesy,Olomouc,Olomoucký kraj
Mrtník,Plzeň-sever,Plzeňský kraj
Mrzky,Kolín,Středočeský kraj
Mrákotín,Chrudim,Pardubický kraj
Mrákotín,Jihlava,Kraj Vysočina
Mrákov,Domažlice,Plzeňský kraj
Mukařov,Mladá Boleslav,Středočeský kraj
Mukařov,Praha-východ,Středočeský kraj
Mutkov,Olomouc,Olomoucký kraj
Mutějovice,Rakovník,Středočeský kraj
Mutěnice,Hodonín,Jihomoravský kraj
Mutěnice,Strakonice,Jihočeský kraj
Mutěnín,Domažlice,Plzeňský kraj
Mydlovary,České Budějovice,Jihočeský kraj
Myslejovice,Prostějov,Olomoucký kraj
Mysletice,Jihlava,Kraj Vysočina
Mysletín,Pelhřimov,Kraj Vysočina
Mysliboř,Jihlava,Kraj Vysočina
Myslibořice,Třebíč,Kraj Vysočina
Myslinka,Plzeň-sever,Plzeňský kraj
Myslkovice,Tábor,Jihočeský kraj
Myslovice,Klatovy,Plzeňský kraj
Mysločovice,Zlín,Zlínský kraj
Myslín,Písek,Jihočeský kraj
Myslív,Klatovy,Plzeňský kraj
Myštice,Strakonice,Jihočeský kraj
Myštěves,Hradec Králové,Královéhradecký kraj
Mšec,Rakovník,Středočeský kraj
Mšecké Žehrovice,Rakovník,Středočeský kraj
Mšeno,Mělník,Středočeský kraj
Mšené-lázně,Litoměřice,Ústecký kraj
Mžany,Hradec Králové,Královéhradecký kraj
Málkov,Beroun,Středočeský kraj
Málkov,Chomutov,Ústecký kraj
Máslojedy,Hradec Králové,Královéhradecký kraj
Máslovice,Praha-východ,Středočeský kraj
Měchenice,Praha-západ,Středočeský kraj
Měcholupy,Louny,Ústecký kraj
Měcholupy,Plzeň-jih,Plzeňský kraj
Měděnec,Chomutov,Ústecký kraj
Měkynec,Strakonice,Jihočeský kraj
Mělnické Vtelno,Mělník,Středočeský kraj
Mělník,Mělník,Středočeský kraj
Mělčany,Brno-venkov,Jihomoravský kraj
Měník,Hradec Králové,Královéhradecký kraj
Měnín,Brno-venkov,Jihomoravský kraj
Měrotín,Olomouc,Olomoucký kraj
Měrovice nad Hanou,Přerov,Olomoucký kraj
Měrunice,Teplice,Ústecký kraj
Městec Králové,Nymburk,Středočeský kraj
Městečko,Rakovník,Středočeský kraj
Městečko Trnávka,Svitavy,Pardubický kraj
Město Albrechtice,Bruntál,Moravskoslezský kraj
Město Libavá,Olomouc,Olomoucký kraj
Město Touškov,Plzeň-sever,Plzeňský kraj
Měšice,Praha-východ,Středočeský kraj
Měšín,Jihlava,Kraj Vysočina
Měčín,Klatovy,Plzeňský kraj
Měňany,Beroun,Středočeský kraj
Měřín,Žďár nad Sázavou,Kraj Vysočina
Míchov,Blansko,Jihomoravský kraj
Mírov,Šumperk,Olomoucký kraj
Mírová,Karlovy Vary,Karlovarský kraj
Mírová pod Kozákovem,Semily,Liberecký kraj
Místo,Chomutov,Ústecký kraj
Míškovice,Kroměříž,Zlínský kraj
Míšov,Plzeň-jih,Plzeňský kraj
Míčov-Sušice,Chrudim,Pardubický kraj
Mířkov,Domažlice,Plzeňský kraj
Mříčná,Semily,Liberecký kraj
Mýto,Rokycany,Plzeňský kraj
Nabočany,Chrudim,Pardubický kraj
Nadryby,Plzeň-sever,Plzeňský kraj
Nadějkov,Tábor,Jihočeský kraj
Nadějov,Jihlava,Kraj Vysočina
Nahošovice,Přerov,Olomoucký kraj
Nahořany,Náchod,Královéhradecký kraj
Naloučany,Třebíč,Kraj Vysočina
Nalžovice,Příbram,Středočeský kraj
Nalžovské Hory,Klatovy,Plzeňský kraj
Napajedla,Zlín,Zlínský kraj
Narysov,Příbram,Středočeský kraj
Nasavrky,Chrudim,Pardubický kraj
Nasavrky,Tábor,Jihočeský kraj
Nasavrky,Ústí nad Orlicí,Pardubický kraj
Našiměřice,Znojmo,Jihomoravský kraj
Načeradec,Benešov,Středočeský kraj
Načešice,Chrudim,Pardubický kraj
Nebahovy,Prachatice,Jihočeský kraj
Nebanice,Cheb,Karlovarský kraj
Nebovidy,Kolín,Středočeský kraj
Nebovidy,Brno-venkov,Jihomoravský kraj
Nebužely,Mělník,Středočeský kraj
Nebílovy,Plzeň-jih,Plzeňský kraj
Nebřehovice,Strakonice,Jihočeský kraj
Nechanice,Hradec Králové,Královéhradecký kraj
Nechvalice,Příbram,Středočeský kraj
Nechvalín,Hodonín,Jihomoravský kraj
Nedabyle,České Budějovice,Jihočeský kraj
Nedachlebice,Uherské Hradiště,Zlínský kraj
Nedakonice,Uherské Hradiště,Zlínský kraj
Nedašov,Zlín,Zlínský kraj
Nedašova Lhota,Zlín,Zlínský kraj
Nedomice,Mělník,Středočeský kraj
Nedrahovice,Příbram,Středočeský kraj
Nedvědice,Brno-venkov,Jihomoravský kraj
Nedvězí,Svitavy,Pardubický kraj
Neděliště,Hradec Králové,Královéhradecký kraj
Nehodiv,Klatovy,Plzeňský kraj
Nehvizdy,Praha-východ,Středočeský kraj
Nejdek,Karlovy Vary,Karlovarský kraj
Nejepín,Havlíčkův Brod,Kraj Vysočina
Nekmíř,Plzeň-sever,Plzeňský kraj
Nekoř,Ústí nad Orlicí,Pardubický kraj
Nekvasovy,Plzeň-jih,Plzeňský kraj
Nelahozeves,Mělník,Středočeský kraj
Nelepeč-Žernůvka,Brno-venkov,Jihomoravský kraj
Nelešovice,Přerov,Olomoucký kraj
Nemanice,Domažlice,Plzeňský kraj
Nemile,Šumperk,Olomoucký kraj
Nemochovice,Vyškov,Jihomoravský kraj
Nemojany,Vyškov,Jihomoravský kraj
Nemojov,Trutnov,Královéhradecký kraj
Nemotice,Vyškov,Jihomoravský kraj
Nemyslovice,Mladá Boleslav,Středočeský kraj
Nemyšl,Tábor,Jihočeský kraj
Nemyčeves,Jičín,Královéhradecký kraj
Nenačovice,Beroun,Středočeský kraj
Nenkovice,Hodonín,Jihomoravský kraj
Neplachov,České Budějovice,Jihočeský kraj
Neplachovice,Opava,Moravskoslezský kraj
Nepolisy,Hradec Králové,Královéhradecký kraj
Nepomuk,Plzeň-jih,Plzeňský kraj
Nepomuk,Příbram,Středočeský kraj
Nepomyšl,Louny,Ústecký kraj
Nepoměřice,Kutná Hora,Středočeský kraj
Neprobylice,Kladno,Středočeský kraj
Nepřevázka,Mladá Boleslav,Středočeský kraj
Neratov,Pardubice,Pardubický kraj
Neratovice,Mělník,Středočeský kraj
Nerestce,Písek,Jihočeský kraj
Neslovice,Brno-venkov,Jihomoravský kraj
Nesovice,Vyškov,Jihomoravský kraj
Nespeky,Benešov,Středočeský kraj
Nestrašovice,Příbram,Středočeský kraj
Nesuchyně,Rakovník,Středočeský kraj
Nesvačilka,Brno-venkov,Jihomoravský kraj
Nesvačily,Beroun,Středočeský kraj
Netolice,Prachatice,Jihočeský kraj
Netunice,Plzeň-jih,Plzeňský kraj
Netvořice,Benešov,Středočeský kraj
Netín,Žďár nad Sázavou,Kraj Vysočina
Netřebice,Nymburk,Středočeský kraj
Netřebice,Český Krumlov,Jihočeský kraj
Neubuz,Zlín,Zlínský kraj
Neumětely,Beroun,Středočeský kraj
Neuměř,Domažlice,Plzeňský kraj
Neuměřice,Kladno,Středočeský kraj
Neurazy,Plzeň-jih,Plzeňský kraj
Neustupov,Benešov,Středočeský kraj
Nevcehle,Jihlava,Kraj Vysočina
Neveklov,Benešov,Středočeský kraj
Neveklovice,Mladá Boleslav,Středočeský kraj
Nevid,Rokycany,Plzeňský kraj
Nevojice,Vyškov,Jihomoravský kraj
Nevolice,Domažlice,Plzeňský kraj
Nevratice,Jičín,Královéhradecký kraj
Nevězice,Písek,Jihočeský kraj
Nevřeň,Plzeň-sever,Plzeňský kraj
Nezabudice,Rakovník,Středočeský kraj
Nezabylice,Chomutov,Ústecký kraj
Nezamyslice,Prostějov,Olomoucký kraj
Nezamyslice,Klatovy,Plzeňský kraj
Nezbavětice,Plzeň-město,Plzeňský kraj
Nezdenice,Uherské Hradiště,Zlínský kraj
Nezdice,Plzeň-jih,Plzeňský kraj
Nezdice na Šumavě,Klatovy,Plzeňský kraj
Nezdřev,Plzeň-jih,Plzeňský kraj
Nezvěstice,Plzeň-město,Plzeňský kraj
Nečtiny,Plzeň-sever,Plzeňský kraj
Nečín,Příbram,Středočeský kraj
Nicov,Prachatice,Jihočeský kraj
Nihošovice,Strakonice,Jihočeský kraj
Nikolčice,Břeclav,Jihomoravský kraj
Nimpšov,Třebíč,Kraj Vysočina
Niměřice,Mladá Boleslav,Středočeský kraj
Niva,Prostějov,Olomoucký kraj
Nivnice,Uherské Hradiště,Zlínský kraj
Nišovice,Strakonice,Jihočeský kraj
Nižbor,Beroun,Středočeský kraj
Nižní Lhoty,Frýdek-Místek,Moravskoslezský kraj
Norberčany,Olomouc,Olomoucký kraj
Nosislav,Brno-venkov,Jihomoravský kraj
Nosálov,Mělník,Středočeský kraj
Noviny pod Ralskem,Česká Lípa,Liberecký kraj
Novosedlice,Teplice,Ústecký kraj
Novosedly,Strakonice,Jihočeský kraj
Novosedly,Břeclav,Jihomoravský kraj
Novosedly nad Nežárkou,Jindřichův Hradec,Jihočeský kraj
Nová Buková,Pelhřimov,Kraj Vysočina
Nová Bystřice,Jindřichův Hradec,Jihočeský kraj
Nová Cerekev,Pelhřimov,Kraj Vysočina
Nová Dědina,Kroměříž,Zlínský kraj
Nová Hradečná,Olomouc,Olomoucký kraj
Nová Lhota,Hodonín,Jihomoravský kraj
Nová Olešná,Jindřichův Hradec,Jihočeský kraj
Nová Paka,Jičín,Královéhradecký kraj
Nová Pec,Prachatice,Jihočeský kraj
Nová Pláň,Bruntál,Moravskoslezský kraj
Nová Role,Karlovy Vary,Karlovarský kraj
Nová Sídla,Svitavy,Pardubický kraj
Nová Telib,Mladá Boleslav,Středočeský kraj
Nová Ves,Domažlice,Plzeňský kraj
Nová Ves,České Budějovice,Jihočeský kraj
Nová Ves,Mělník,Středočeský kraj
Nová Ves,Brno-venkov,Jihomoravský kraj
Nová Ves,Sokolov,Karlovarský kraj
Nová Ves,Třebíč,Kraj Vysočina
Nová Ves,Český Krumlov,Jihočeský kraj
Nová Ves,Žďár nad Sázavou,Kraj Vysočina
Nová Ves,Rychnov nad Kněžnou,Královéhradecký kraj
Nová Ves,Liberec,Liberecký kraj
Nová Ves,Praha-východ,Středočeský kraj
Nová Ves,Plzeň-jih,Plzeňský kraj
Nová Ves,Louny,Ústecký kraj
Nová Ves,Strakonice,Jihočeský kraj
Nová Ves I,Kolín,Středočeský kraj
Nová Ves nad Lužnicí,Jindřichův Hradec,Jihočeský kraj
Nová Ves nad Nisou,Jablonec nad Nisou,Liberecký kraj
Nová Ves nad Popelkou,Semily,Liberecký kraj
Nová Ves pod Pleší,Příbram,Středočeský kraj
Nová Ves u Bakova,Mladá Boleslav,Středočeský kraj
Nová Ves u Chotěboře,Havlíčkův Brod,Kraj Vysočina
Nová Ves u Chýnova,Tábor,Jihočeský kraj
Nová Ves u Jarošova,Svitavy,Pardubický kraj
Nová Ves u Leštiny,Havlíčkův Brod,Kraj Vysočina
Nová Ves u Mladé Vožice,Tábor,Jihočeský kraj
Nová Ves u Nového Města na Moravě,Žďár nad Sázavou,Kraj Vysočina
Nová Ves u Světlé,Havlíčkův Brod,Kraj Vysočina
Nová Ves v Horách,Most,Ústecký kraj
Nová Včelnice,Jindřichův Hradec,Jihočeský kraj
Nová Říše,Jihlava,Kraj Vysočina
Nové Bránice,Brno-venkov,Jihomoravský kraj
Nové Dvory,Žďár nad Sázavou,Kraj Vysočina
Nové Dvory,Litoměřice,Ústecký kraj
Nové Dvory,Příbram,Středočeský kraj
Nové Dvory,Kutná Hora,Středočeský kraj
Nové Hamry,Karlovy Vary,Karlovarský kraj
Nové Heřminovy,Bruntál,Moravskoslezský kraj
Nové Hrady,Ústí nad Orlicí,Pardubický kraj
Nové Hrady,České Budějovice,Jihočeský kraj
Nové Hutě,Prachatice,Jihočeský kraj
Nové Lublice,Opava,Moravskoslezský kraj
Nové Mitrovice,Plzeň-jih,Plzeňský kraj
Nové Město,Hradec Králové,Královéhradecký kraj
Nové Město na Moravě,Žďár nad Sázavou,Kraj Vysočina
Nové Město nad Metují,Náchod,Královéhradecký kraj
Nové Město pod Smrkem,Liberec,Liberecký kraj
Nové Sady,Žďár nad Sázavou,Kraj Vysočina
Nové Sady,Vyškov,Jihomoravský kraj
Nové Sedlice,Opava,Moravskoslezský kraj
Nové Sedlo,Louny,Ústecký kraj
Nové Sedlo,Sokolov,Karlovarský kraj
Nové Strašecí,Rakovník,Středočeský kraj
Nové Syrovice,Třebíč,Kraj Vysočina
Nové Veselí,Žďár nad Sázavou,Kraj Vysočina
Nový Bor,Česká Lípa,Liberecký kraj
Nový Bydžov,Hradec Králové,Královéhradecký kraj
Nový Dvůr,Nymburk,Středočeský kraj
Nový Dům,Rakovník,Středočeský kraj
Nový Hrozenkov,Vsetín,Zlínský kraj
Nový Hrádek,Náchod,Královéhradecký kraj
Nový Jimramov,Žďár nad Sázavou,Kraj Vysočina
Nový Jičín,Nový Jičín,Moravskoslezský kraj
Nový Jáchymov,Beroun,Středočeský kraj
Nový Knín,Příbram,Středočeský kraj
Nový Kostel,Cheb,Karlovarský kraj
Nový Kramolín,Domažlice,Plzeňský kraj
Nový Malín,Šumperk,Olomoucký kraj
Nový Oldřichov,Česká Lípa,Liberecký kraj
Nový Ples,Náchod,Královéhradecký kraj
Nový Poddvorov,Hodonín,Jihomoravský kraj
Nový Přerov,Břeclav,Jihomoravský kraj
Nový Rychnov,Pelhřimov,Kraj Vysočina
Nový Telečkov,Třebíč,Kraj Vysočina
Nový Vestec,Praha-východ,Středočeský kraj
Nový Šaldorf-Sedlešovice,Znojmo,Jihomoravský kraj
Nošovice,Frýdek-Místek,Moravskoslezský kraj
Nupaky,Praha-východ,Středočeský kraj
Nučice,Praha-západ,Středočeský kraj
Nučice,Praha-východ,Středočeský kraj
Nyklovice,Žďár nad Sázavou,Kraj Vysočina
Nymburk,Nymburk,Středočeský kraj
Náchod,Náchod,Královéhradecký kraj
Náklo,Olomouc,Olomoucký kraj
Nákří,České Budějovice,Jihočeský kraj
Náměšť na Hané,Olomouc,Olomoucký kraj
Náměšť nad Oslavou,Třebíč,Kraj Vysočina
Nárameč,Třebíč,Kraj Vysočina
Násedlovice,Hodonín,Jihomoravský kraj
Návojná,Zlín,Zlínský kraj
Návsí,Frýdek-Místek,Moravskoslezský kraj
Němčany,Vyškov,Jihomoravský kraj
Němčice,Domažlice,Plzeňský kraj
Němčice,Svitavy,Pardubický kraj
Němčice,Prachatice,Jihočeský kraj
Němčice,Mladá Boleslav,Středočeský kraj
Němčice,Strakonice,Jihočeský kraj
Němčice,Pardubice,Pardubický kraj
Němčice,Blansko,Jihomoravský kraj
Němčice,Kolín,Středočeský kraj
Němčice,Kroměříž,Zlínský kraj
Němčice nad Hanou,Prostějov,Olomoucký kraj
Němčičky,Břeclav,Jihomoravský kraj
Němčičky,Brno-venkov,Jihomoravský kraj
Němčičky,Znojmo,Jihomoravský kraj
Němčovice,Rokycany,Plzeňský kraj
Němětice,Strakonice,Jihočeský kraj
Níhov,Brno-venkov,Jihomoravský kraj
Nítkovice,Kroměříž,Zlínský kraj
Nížkov,Žďár nad Sázavou,Kraj Vysočina
Nížkovice,Vyškov,Jihomoravský kraj
Nýdek,Frýdek-Místek,Moravskoslezský kraj
Nýrov,Blansko,Jihomoravský kraj
Nýrsko,Klatovy,Plzeňský kraj
Nýřany,Plzeň-sever,Plzeňský kraj
Obecnice,Příbram,Středočeský kraj
Obora,Plzeň-sever,Plzeňský kraj
Obora,Louny,Ústecký kraj
Obora,Tachov,Plzeňský kraj
Obora,Blansko,Jihomoravský kraj
Oborná,Bruntál,Moravskoslezský kraj
Obory,Příbram,Středočeský kraj
Obořiště,Příbram,Středočeský kraj
Obrataň,Pelhřimov,Kraj Vysočina
Obrnice,Most,Ústecký kraj
Obrubce,Mladá Boleslav,Středočeský kraj
Obruby,Mladá Boleslav,Středočeský kraj
Obytce,Klatovy,Plzeňský kraj
Obyčtov,Žďár nad Sázavou,Kraj Vysočina
Občov,Příbram,Středočeský kraj
Obědkovice,Prostějov,Olomoucký kraj
Obědovice,Hradec Králové,Královéhradecký kraj
Obříství,Mělník,Středočeský kraj
Ochoz,Prostějov,Olomoucký kraj
Ochoz u Brna,Brno-venkov,Jihomoravský kraj
Ochoz u Tišnova,Brno-venkov,Jihomoravský kraj
Ocmanice,Třebíč,Kraj Vysočina
Odolena Voda,Praha-východ,Středočeský kraj
Odrava,Cheb,Karlovarský kraj
Odrovice,Brno-venkov,Jihomoravský kraj
Odry,Nový Jičín,Moravskoslezský kraj
Odunec,Třebíč,Kraj Vysočina
Odřepsy,Nymburk,Středočeský kraj
Ohaveč,Jičín,Královéhradecký kraj
Ohaře,Kolín,Středočeský kraj
Ohařice,Jičín,Královéhradecký kraj
Ohnišov,Rychnov nad Kněžnou,Královéhradecký kraj
Ohnišťany,Hradec Králové,Královéhradecký kraj
Ohníč,Teplice,Ústecký kraj
Ohrazenice,Příbram,Středočeský kraj
Ohrazenice,Semily,Liberecký kraj
Ohrobec,Praha-západ,Středočeský kraj
Ohrozim,Prostějov,Olomoucký kraj
Okarec,Třebíč,Kraj Vysočina
Okna,Česká Lípa,Liberecký kraj
Okounov,Chomutov,Ústecký kraj
Okoř,Praha-západ,Středočeský kraj
Okrouhlice,Havlíčkův Brod,Kraj Vysočina
Okrouhlička,Havlíčkův Brod,Kraj Vysočina
Okrouhlo,Praha-západ,Středočeský kraj
Okrouhlá,Cheb,Karlovarský kraj
Okrouhlá,Česká Lípa,Liberecký kraj
Okrouhlá,Písek,Jihočeský kraj
Okrouhlá,Blansko,Jihomoravský kraj
Okrouhlá Radouň,Jindřichův Hradec,Jihočeský kraj
Okřesaneč,Kutná Hora,Středočeský kraj
Okřešice,Třebíč,Kraj Vysočina
Okřínek,Nymburk,Středočeský kraj
Okříšky,Třebíč,Kraj Vysočina
Olbramice,Ostrava-město,Moravskoslezský kraj
Olbramice,Olomouc,Olomoucký kraj
Olbramkostel,Znojmo,Jihomoravský kraj
Olbramov,Tachov,Plzeňský kraj
Olbramovice,Znojmo,Jihomoravský kraj
Olbramovice,Benešov,Středočeský kraj
Oldřichov,Přerov,Olomoucký kraj
Oldřichov,Tábor,Jihočeský kraj
Oldřichov v Hájích,Liberec,Liberecký kraj
Oldřichovice,Zlín,Zlínský kraj
Oldřiš,Svitavy,Pardubický kraj
Oldřišov,Opava,Moravskoslezský kraj
Oleksovice,Znojmo,Jihomoravský kraj
Olešenka,Havlíčkův Brod,Kraj Vysočina
Oleška,Praha-východ,Středočeský kraj
Oleško,Litoměřice,Ústecký kraj
Olešnice,Hradec Králové,Královéhradecký kraj
Olešnice,České Budějovice,Jihočeský kraj
Olešnice,Rychnov nad Kněžnou,Královéhradecký kraj
Olešnice,Semily,Liberecký kraj
Olešnice,Blansko,Jihomoravský kraj
Olešnice v Orlických horách,Rychnov nad Kněžnou,Královéhradecký kraj
Olešná,Havlíčkův Brod,Kraj Vysočina
Olešná,Pelhřimov,Kraj Vysočina
Olešná,Písek,Jihočeský kraj
Olešná,Rakovník,Středočeský kraj
Olešná,Beroun,Středočeský kraj
Olešník,České Budějovice,Jihočeský kraj
Olomouc,Olomouc,Olomoucký kraj
Olomučany,Blansko,Jihomoravský kraj
Olovnice,Mělník,Středočeský kraj
Oloví,Sokolov,Karlovarský kraj
Olšany,Vyškov,Jihomoravský kraj
Olšany,Klatovy,Plzeňský kraj
Olšany,Jihlava,Kraj Vysočina
Olšany,Šumperk,Olomoucký kraj
Olšany u Prostějova,Prostějov,Olomoucký kraj
Olšovec,Přerov,Olomoucký kraj
Olšovice,Prachatice,Jihočeský kraj
Olší,Brno-venkov,Jihomoravský kraj
Olší,Jihlava,Kraj Vysočina
Omice,Brno-venkov,Jihomoravský kraj
Omlenice,Český Krumlov,Jihočeský kraj
Ondratice,Prostějov,Olomoucký kraj
Ondřejov,Praha-východ,Středočeský kraj
Ondřejov,Pelhřimov,Kraj Vysočina
Onomyšl,Kutná Hora,Středočeský kraj
Onšov,Pelhřimov,Kraj Vysočina
Onšov,Znojmo,Jihomoravský kraj
Opatov,Svitavy,Pardubický kraj
Opatov,Třebíč,Kraj Vysočina
Opatov,Jihlava,Kraj Vysočina
Opatovec,Svitavy,Pardubický kraj
Opatovice,Přerov,Olomoucký kraj
Opatovice,Brno-venkov,Jihomoravský kraj
Opatovice I,Kutná Hora,Středočeský kraj
Opatovice nad Labem,Pardubice,Pardubický kraj
Opava,Opava,Moravskoslezský kraj
Opařany,Tábor,Jihočeský kraj
Oplany,Praha-východ,Středočeský kraj
Oplocany,Přerov,Olomoucký kraj
Oplot,Plzeň-jih,Plzeňský kraj
Opolany,Nymburk,Středočeský kraj
Oponešice,Třebíč,Kraj Vysočina
Opočnice,Nymburk,Středočeský kraj
Opočno,Rychnov nad Kněžnou,Královéhradecký kraj
Opočno,Louny,Ústecký kraj
Oprostovice,Přerov,Olomoucký kraj
Orel,Chrudim,Pardubický kraj
Orlické Podhůří,Ústí nad Orlicí,Pardubický kraj
Orlické Záhoří,Rychnov nad Kněžnou,Královéhradecký kraj
Orličky,Ústí nad Orlicí,Pardubický kraj
Orlovice,Vyškov,Jihomoravský kraj
Orlová,Karviná,Moravskoslezský kraj
Orlík nad Vltavou,Písek,Jihočeský kraj
Oráčov,Rakovník,Středočeský kraj
Osek,Beroun,Středočeský kraj
Osek,Strakonice,Jihočeský kraj
Osek,Jičín,Královéhradecký kraj
Osek,Písek,Jihočeský kraj
Osek,Teplice,Ústecký kraj
Osek,Rokycany,Plzeňský kraj
Osek nad Bečvou,Přerov,Olomoucký kraj
Oselce,Plzeň-jih,Plzeňský kraj
Osečany,Příbram,Středočeský kraj
Oseček,Nymburk,Středočeský kraj
Osečnice,Rychnov nad Kněžnou,Královéhradecký kraj
Osečná,Liberec,Liberecký kraj
Osice,Hradec Králové,Královéhradecký kraj
Osiky,Brno-venkov,Jihomoravský kraj
Osičky,Hradec Králové,Královéhradecký kraj
Oskava,Šumperk,Olomoucký kraj
Oskořínek,Nymburk,Středočeský kraj
Oslavany,Brno-venkov,Jihomoravský kraj
Oslavice,Žďár nad Sázavou,Kraj Vysočina
Oslavička,Žďár nad Sázavou,Kraj Vysočina
Oslnovice,Znojmo,Jihomoravský kraj
Oslov,Písek,Jihočeský kraj
Osoblaha,Bruntál,Moravskoslezský kraj
Osov,Beroun,Středočeský kraj
Osová Bítýška,Žďár nad Sázavou,Kraj Vysočina
Osové,Žďár nad Sázavou,Kraj Vysočina
Ostašov,Třebíč,Kraj Vysočina
Ostopovice,Brno-venkov,Jihomoravský kraj
Ostrata,Zlín,Zlínský kraj
Ostrava,Ostrava-město,Moravskoslezský kraj
Ostravice,Frýdek-Místek,Moravskoslezský kraj
Ostrolovský Újezd,České Budějovice,Jihočeský kraj
Ostroměř,Jičín,Královéhradecký kraj
Ostrov,Havlíčkův Brod,Kraj Vysočina
Ostrov,Benešov,Středočeský kraj
Ostrov,Ústí nad Orlicí,Pardubický kraj
Ostrov,Příbram,Středočeský kraj
Ostrov,Chrudim,Pardubický kraj
Ostrov,Karlovy Vary,Karlovarský kraj
Ostrov nad Oslavou,Žďár nad Sázavou,Kraj Vysočina
Ostrov u Bezdružic,Plzeň-sever,Plzeňský kraj
Ostrov u Macochy,Blansko,Jihomoravský kraj
Ostrovačice,Brno-venkov,Jihomoravský kraj
Ostrovec,Písek,Jihočeský kraj
Ostrovec-Lhotka,Rokycany,Plzeňský kraj
Ostrovánky,Hodonín,Jihomoravský kraj
Ostrožská Lhota,Uherské Hradiště,Zlínský kraj
Ostrožská Nová Ves,Uherské Hradiště,Zlínský kraj
Ostružno,Jičín,Královéhradecký kraj
Ostružná,Jeseník,Olomoucký kraj
Ostrá,Nymburk,Středočeský kraj
Ostředek,Benešov,Středočeský kraj
Ostřetice,Klatovy,Plzeňský kraj
Ostřetín,Pardubice,Pardubický kraj
Ostřešany,Pardubice,Pardubický kraj
Osvračín,Domažlice,Plzeňský kraj
Osvětimany,Uherské Hradiště,Zlínský kraj
Osík,Svitavy,Pardubický kraj
Osíčko,Kroměříž,Zlínský kraj
Otaslavice,Prostějov,Olomoucký kraj
Otice,Opava,Moravskoslezský kraj
Otinoves,Prostějov,Olomoucký kraj
Otmarov,Brno-venkov,Jihomoravský kraj
Otmíče,Beroun,Středočeský kraj
Otnice,Vyškov,Jihomoravský kraj
Otov,Domažlice,Plzeňský kraj
Otovice,Náchod,Královéhradecký kraj
Otovice,Karlovy Vary,Karlovarský kraj
Otradov,Chrudim,Pardubický kraj
Otrokovice,Zlín,Zlínský kraj
Otročiněves,Beroun,Středočeský kraj
Otročín,Karlovy Vary,Karlovarský kraj
Otvice,Chomutov,Ústecký kraj
Otvovice,Kladno,Středočeský kraj
Otěšice,Plzeň-jih,Plzeňský kraj
Otín,Žďár nad Sázavou,Kraj Vysočina
Otín,Jihlava,Kraj Vysočina
Ouběnice,Příbram,Středočeský kraj
Oucmanice,Ústí nad Orlicí,Pardubický kraj
Oudoleň,Havlíčkův Brod,Kraj Vysočina
Ovesná Lhota,Havlíčkův Brod,Kraj Vysočina
Ovesné Kladruby,Cheb,Karlovarský kraj
Ovčáry,Mělník,Středočeský kraj
Ovčáry,Kolín,Středočeský kraj
Oznice,Vsetín,Zlínský kraj
Ošelín,Tachov,Plzeňský kraj
Očelice,Rychnov nad Kněžnou,Královéhradecký kraj
Očihov,Louny,Ústecký kraj
Ořech,Praha-západ,Středočeský kraj
Ořechov,Brno-venkov,Jihomoravský kraj
Ořechov,Uherské Hradiště,Zlínský kraj
Ořechov,Žďár nad Sázavou,Kraj Vysočina
Ořechov,Jihlava,Kraj Vysočina
Paběnice,Kutná Hora,Středočeský kraj
Pacetluky,Kroměříž,Zlínský kraj
Paceřice,Liberec,Liberecký kraj
Pacov,Pelhřimov,Kraj Vysočina
Palkovice,Frýdek-Místek,Moravskoslezský kraj
Palonín,Šumperk,Olomoucký kraj
Pamětice,Blansko,Jihomoravský kraj
Panenská Rozsíčka,Jihlava,Kraj Vysočina
Panenské Břežany,Praha-východ,Středočeský kraj
Panenský Týnec,Louny,Ústecký kraj
Panoší Újezd,Rakovník,Středočeský kraj
Panské Dubenky,Jihlava,Kraj Vysočina
Paračov,Strakonice,Jihočeský kraj
Pardubice,Pardubice,Pardubický kraj
Partutovice,Přerov,Olomoucký kraj
Paršovice,Přerov,Olomoucký kraj
Paseka,Olomouc,Olomoucký kraj
Paseky,Písek,Jihočeský kraj
Paseky nad Jizerou,Semily,Liberecký kraj
Pasečnice,Domažlice,Plzeňský kraj
Paskov,Frýdek-Místek,Moravskoslezský kraj
Pasohlávky,Brno-venkov,Jihomoravský kraj
Pastuchovice,Plzeň-sever,Plzeňský kraj
Pastviny,Ústí nad Orlicí,Pardubický kraj
Patokryje,Most,Ústecký kraj
